,Drug Type,Sex,with/without?,Opioid Type,Deaths,Death Rate,Year,Population Type
118,Antidepressants,Female,with,synthetic,79.0,0.0,2001,Overall
119,Antidepressants,Male,with,synthetic,68.0,0.6,2001,Overall
120,Prescription opioids,Female,overall,overall,2304.0,2.9,2002,Overall
121,Prescription opioids,Male,overall,overall,4179.0,0.1,2002,Overall
122,Prescription opioids,Female,with,synthetic,157.0,0.1,2002,Overall
123,Prescription opioids,Male,with,synthetic,165.0,2.1999999999999997,2002,Overall
124,Synthetic opioids,Female,overall,overall,614.0,0.5,2002,Overall
125,Synthetic opioids,Male,overall,overall,681.0,0.7,2002,Overall
126,Heroin,Female,overall,overall,359.0,1.2,2002,Overall
127,Heroin,Male,overall,overall,1730.0,,2002,Overall
128,Heroin,Female,with,synthetic,5.0,,2002,Overall
129,Heroin,Male,with,synthetic,10.0,,2002,Overall
130,Stimulants,Female,overall,overall,1400.0,2.8,2002,Overall
131,Stimulants,Male,overall,overall,4023.0,0.9,2002,Overall
132,Stimulants,Female,with,any,658.0,1.4,2002,Overall
133,Stimulants,Male,with,any,1920.0,0.9999999999999999,2002,Overall
134,Stimulants,Female,with,synthetic,30.0,0.0,2002,Overall
135,Stimulants,Male,with,synthetic,53.0,1.9,2002,Overall
136,Cocaine,Female,overall,overall,1143.0,2.4,2002,Overall
137,Cocaine,Male,overall,overall,3456.0,0.8,2002,Overall
138,Cocaine,Female,with,any,560.0,1.2,2002,Overall
139,Cocaine,Male,with,any,1758.0,0.8,2002,Overall
140,Cocaine,Female,with,synthetic,19.0,,2002,Overall
141,Cocaine,Male,with,synthetic,46.0,,2002,Overall
142,Psychostimulants,Female,overall,overall,285.0,0.5,2002,Overall
143,Psychostimulants,Male,overall,overall,656.0,0.1,2002,Overall
144,Psychostimulants,Female,with,any,114.0,0.1,2002,Overall
145,Psychostimulants,Male,with,any,211.0,0.19999999999999998,2002,Overall
146,Psychostimulants,Female,with,synthetic,12.0,,2002,Overall
147,Psychostimulants,Male,with,synthetic,7.0,,2002,Overall
148,Benzodiazepines,Female,overall,overall,763.0,0.9,2002,Overall
149,Benzodiazepines,Male,overall,overall,1259.0,0.5,2002,Overall
150,Benzodiazepines,Female,with,any,553.0,0.7,2002,Overall
151,Benzodiazepines,Male,with,any,958.0,0.19999999999999996,2002,Overall
152,Benzodiazepines,Female,with,synthetic,107.0,0.1,2002,Overall
153,Benzodiazepines,Male,with,synthetic,123.0,0.6,2002,Overall
154,Antidepressants,Female,overall,overall,1318.0,0.7,2002,Overall
155,Antidepressants,Male,overall,overall,1052.0,0.4,2002,Overall
156,Antidepressants,Female,with,any,634.0,0.4,2002,Overall
157,Antidepressants,Male,with,any,514.0,0.4,2002,Overall
158,Antidepressants,Female,with,synthetic,154.0,0.1,2002,Overall
159,Antidepressants,Male,with,synthetic,84.0,0.7000000000000001,2002,Overall
160,Prescription opioids,Female,overall,overall,2681.0,3.3,2003,Overall
161,Prescription opioids,Male,overall,overall,4780.0,0.1,2003,Overall
162,Prescription opioids,Female,with,synthetic,151.0,0.1,2003,Overall
163,Prescription opioids,Male,with,synthetic,193.0,2.5,2003,Overall
164,Synthetic opioids,Female,overall,overall,643.0,0.5,2003,Overall
165,Synthetic opioids,Male,overall,overall,757.0,0.7,2003,Overall
166,Heroin,Female,overall,overall,358.0,1.2,2003,Overall
167,Heroin,Male,overall,overall,1722.0,,2003,Overall
168,Heroin,Female,with,synthetic,3.0,,2003,Overall
169,Heroin,Male,with,synthetic,13.0,,2003,Overall
170,Stimulants,Female,overall,overall,1626.0,3.2,2003,Overall
171,Stimulants,Male,overall,overall,4589.0,0.9,2003,Overall
172,Stimulants,Female,with,any,692.0,1.4,2003,Overall
173,Stimulants,Male,with,any,2040.0,1.2000000000000002,2003,Overall
174,Stimulants,Female,with,synthetic,57.0,0.1,2003,Overall
175,Stimulants,Male,with,synthetic,78.0,2.1,2003,Overall
176,Cocaine,Female,overall,overall,1322.0,2.7,2003,Overall
177,Cocaine,Male,overall,overall,3877.0,0.8,2003,Overall
178,Cocaine,Female,with,any,603.0,1.3,2003,Overall
179,Cocaine,Male,with,any,1853.0,1.0,2003,Overall
180,Cocaine,Female,with,synthetic,44.0,0.1,2003,Overall
181,Cocaine,Male,with,synthetic,65.0,,2003,Overall
182,Psychostimulants,Female,overall,overall,353.0,0.6,2003,Overall
183,Psychostimulants,Male,overall,overall,826.0,0.1,2003,Overall
184,Psychostimulants,Female,with,any,119.0,0.2,2003,Overall
185,Psychostimulants,Male,with,any,240.0,0.30000000000000004,2003,Overall
186,Psychostimulants,Female,with,synthetic,14.0,,2003,Overall
187,Psychostimulants,Male,with,synthetic,14.0,,2003,Overall
188,Benzodiazepines,Female,overall,overall,885.0,0.9,2003,Overall
189,Benzodiazepines,Male,overall,overall,1363.0,0.6,2003,Overall
190,Benzodiazepines,Female,with,any,620.0,0.7,2003,Overall
191,Benzodiazepines,Male,with,any,1072.0,0.20000000000000007,2003,Overall
192,Benzodiazepines,Female,with,synthetic,105.0,0.1,2003,Overall
193,Benzodiazepines,Male,with,synthetic,137.0,0.7000000000000001,2003,Overall
194,Antidepressants,Female,overall,overall,1384.0,0.8,2003,Overall
195,Antidepressants,Male,overall,overall,1128.0,0.4,2003,Overall
196,Antidepressants,Female,with,any,692.0,0.4,2003,Overall
197,Antidepressants,Male,with,any,542.0,0.5,2003,Overall
198,Antidepressants,Female,with,synthetic,139.0,0.1,2003,Overall
199,Antidepressants,Male,with,synthetic,91.0,0.8,2003,Overall
200,Prescription opioids,Female,overall,overall,3144.0,3.7,2004,Overall
201,Prescription opioids,Male,overall,overall,5433.0,0.1,2004,Overall
202,Prescription opioids,Female,with,synthetic,184.0,0.1,2004,Overall
203,Prescription opioids,Male,with,synthetic,200.0,2.8,2004,Overall
204,Synthetic opioids,Female,overall,overall,798.0,0.6,2004,Overall
205,Synthetic opioids,Male,overall,overall,866.0,0.6,2004,Overall
206,Heroin,Female,overall,overall,341.0,1.1,2004,Overall
207,Heroin,Male,overall,overall,1537.0,,2004,Overall
208,Heroin,Female,with,synthetic,6.0,,2004,Overall
209,Heroin,Male,with,synthetic,7.0,,2004,Overall
210,Stimulants,Female,overall,overall,1767.0,3.3,2004,Overall
211,Stimulants,Male,overall,overall,4824.0,1.0,2004,Overall
212,Stimulants,Female,with,any,743.0,1.4,2004,Overall
213,Stimulants,Male,with,any,2107.0,1.2999999999999998,2004,Overall
214,Stimulants,Female,with,synthetic,52.0,0.1,2004,Overall
215,Stimulants,Male,with,synthetic,105.0,2.3,2004,Overall
216,Cocaine,Female,overall,overall,1405.0,2.8,2004,Overall
217,Cocaine,Male,overall,overall,4038.0,0.9,2004,Overall
218,Cocaine,Female,with,any,634.0,1.3,2004,Overall
219,Cocaine,Male,with,any,1888.0,0.9999999999999999,2004,Overall
220,Cocaine,Female,with,synthetic,41.0,0.1,2004,Overall
221,Cocaine,Male,with,synthetic,89.0,,2004,Overall
222,Psychostimulants,Female,overall,overall,393.0,0.6,2004,Overall
223,Psychostimulants,Male,overall,overall,912.0,0.1,2004,Overall
224,Psychostimulants,Female,with,any,128.0,0.2,2004,Overall
225,Psychostimulants,Male,with,any,279.0,0.30000000000000004,2004,Overall
226,Psychostimulants,Female,with,synthetic,12.0,,2004,Overall
227,Psychostimulants,Male,with,synthetic,17.0,,2004,Overall
228,Benzodiazepines,Female,overall,overall,1079.0,1.1,2004,Overall
229,Benzodiazepines,Male,overall,overall,1548.0,0.7,2004,Overall
230,Benzodiazepines,Female,with,any,797.0,0.9,2004,Overall
231,Benzodiazepines,Male,with,any,1252.0,0.20000000000000007,2004,Overall
232,Benzodiazepines,Female,with,synthetic,128.0,0.1,2004,Overall
233,Benzodiazepines,Male,with,synthetic,142.0,0.8,2004,Overall
234,Antidepressants,Female,overall,overall,1549.0,0.8,2004,Overall
235,Antidepressants,Male,overall,overall,1209.0,0.5,2004,Overall
236,Antidepressants,Female,with,any,762.0,0.4,2004,Overall
237,Antidepressants,Male,with,any,617.0,0.4,2004,Overall
238,Antidepressants,Female,with,synthetic,164.0,0.1,2004,Overall
239,Antidepressants,Male,with,synthetic,100.0,0.8,2004,Overall
240,Prescription opioids,Female,overall,overall,3572.0,4.1,2005,Overall
241,Prescription opioids,Male,overall,overall,6040.0,0.2,2005,Overall
242,Prescription opioids,Female,with,synthetic,207.0,0.1,2005,Overall
243,Prescription opioids,Male,with,synthetic,219.0,3.0,2005,Overall
244,Synthetic opioids,Female,overall,overall,823.0,0.6,2005,Overall
245,Synthetic opioids,Male,overall,overall,919.0,0.7,2005,Overall
246,Heroin,Female,overall,overall,389.0,1.1,2005,Overall
247,Heroin,Male,overall,overall,1620.0,,2005,Overall
248,Heroin,Female,with,synthetic,9.0,,2005,Overall
249,Heroin,Male,with,synthetic,25.0,,2005,Overall
250,Stimulants,Female,overall,overall,2001.0,3.8,2005,Overall
251,Stimulants,Male,overall,overall,5605.0,1.1,2005,Overall
252,Stimulants,Female,with,any,853.0,1.6,2005,Overall
253,Stimulants,Male,with,any,2362.0,1.5,2005,Overall
254,Stimulants,Female,with,synthetic,75.0,0.1,2005,Overall
255,Stimulants,Male,with,synthetic,128.0,2.5,2005,Overall
256,Cocaine,Female,overall,overall,1620.0,3.1,2005,Overall
257,Cocaine,Male,overall,overall,4588.0,1.0,2005,Overall
258,Cocaine,Female,with,any,737.0,1.4,2005,Overall
259,Cocaine,Male,with,any,2105.0,1.1,2005,Overall
260,Cocaine,Female,with,synthetic,62.0,0.1,2005,Overall
261,Cocaine,Male,with,synthetic,112.0,,2005,Overall
262,Psychostimulants,Female,overall,overall,438.0,0.8,2005,Overall
263,Psychostimulants,Male,overall,overall,1170.0,0.2,2005,Overall
264,Psychostimulants,Female,with,any,145.0,0.2,2005,Overall
265,Psychostimulants,Male,with,any,331.0,0.3,2005,Overall
266,Psychostimulants,Female,with,synthetic,13.0,,2005,Overall
267,Psychostimulants,Male,with,synthetic,20.0,,2005,Overall
268,Benzodiazepines,Female,overall,overall,1209.0,1.3,2005,Overall
269,Benzodiazepines,Male,overall,overall,1875.0,0.8,2005,Overall
270,Benzodiazepines,Female,with,any,922.0,1.0,2005,Overall
271,Benzodiazepines,Male,with,any,1508.0,0.30000000000000004,2005,Overall
272,Benzodiazepines,Female,with,synthetic,150.0,0.1,2005,Overall
273,Benzodiazepines,Male,with,synthetic,162.0,1.0,2005,Overall
274,Antidepressants,Female,overall,overall,1575.0,0.9,2005,Overall
275,Antidepressants,Male,overall,overall,1286.0,0.5,2005,Overall
276,Antidepressants,Female,with,any,806.0,0.5,2005,Overall
277,Antidepressants,Male,with,any,702.0,0.4,2005,Overall
278,Antidepressants,Female,with,synthetic,159.0,0.1,2005,Overall
279,Antidepressants,Male,with,synthetic,119.0,0.8,2005,Overall
280,Prescription opioids,Female,overall,overall,4274.0,4.9,2006,Overall
281,Prescription opioids,Male,overall,overall,7315.0,0.2,2006,Overall
282,Prescription opioids,Female,with,synthetic,246.0,0.2,2006,Overall
283,Prescription opioids,Male,with,synthetic,327.0,3.6999999999999997,2006,Overall
284,Synthetic opioids,Female,overall,overall,1030.0,1.1,2006,Overall
285,Synthetic opioids,Male,overall,overall,1677.0,0.7,2006,Overall
286,Heroin,Female,overall,overall,344.0,1.2,2006,Overall
287,Heroin,Male,overall,overall,1744.0,,2006,Overall
288,Heroin,Female,with,synthetic,25.0,,2006,Overall
289,Heroin,Male,with,synthetic,88.0,,2006,Overall
290,Stimulants,Female,overall,overall,2214.0,4.4,2006,Overall
291,Stimulants,Male,overall,overall,6454.0,1.3,2006,Overall
292,Stimulants,Female,with,any,979.0,1.9,2006,Overall
293,Stimulants,Male,with,any,2785.0,1.5999999999999999,2006,Overall
294,Stimulants,Female,with,synthetic,120.0,0.2,2006,Overall
295,Stimulants,Male,with,synthetic,343.0,2.6999999999999997,2006,Overall
296,Cocaine,Female,overall,overall,1860.0,3.8,2006,Overall
297,Cocaine,Male,overall,overall,5588.0,1.1,2006,Overall
298,Cocaine,Female,with,any,845.0,1.7,2006,Overall
299,Cocaine,Male,with,any,2527.0,1.4,2006,Overall
300,Cocaine,Female,with,synthetic,109.0,0.2,2006,Overall
301,Cocaine,Male,with,synthetic,323.0,2.3,2006,Overall
302,Psychostimulants,Female,overall,overall,411.0,0.7,2006,Overall
303,Psychostimulants,Male,overall,overall,1051.0,0.2,2006,Overall
304,Psychostimulants,Female,with,any,170.0,0.2,2006,Overall
305,Psychostimulants,Male,with,any,356.0,0.3,2006,Overall
306,Psychostimulants,Female,with,synthetic,16.0,,2006,Overall
307,Psychostimulants,Male,with,synthetic,21.0,,2006,Overall
308,Benzodiazepines,Female,overall,overall,1472.0,1.6,2006,Overall
309,Benzodiazepines,Male,overall,overall,2363.0,1.0,2006,Overall
310,Benzodiazepines,Female,with,any,1137.0,1.3,2006,Overall
311,Benzodiazepines,Male,with,any,1908.0,0.30000000000000004,2006,Overall
312,Benzodiazepines,Female,with,synthetic,165.0,0.2,2006,Overall
313,Benzodiazepines,Male,with,synthetic,242.0,1.2,2006,Overall
314,Antidepressants,Female,overall,overall,1819.0,0.9,2006,Overall
315,Antidepressants,Male,overall,overall,1314.0,0.5,2006,Overall
316,Antidepressants,Female,with,any,946.0,0.5,2006,Overall
317,Antidepressants,Male,with,any,716.0,0.5,2006,Overall
318,Antidepressants,Female,with,synthetic,176.0,0.1,2006,Overall
319,Antidepressants,Male,with,synthetic,124.0,0.9,2006,Overall
320,Prescription opioids,Female,overall,overall,4863.0,5.3,2007,Overall
321,Prescription opioids,Male,overall,overall,7933.0,0.2,2007,Overall
322,Prescription opioids,Female,with,synthetic,286.0,0.2,2007,Overall
323,Prescription opioids,Male,with,synthetic,315.0,4.0,2007,Overall
324,Synthetic opioids,Female,overall,overall,1053.0,0.8,2007,Overall
325,Synthetic opioids,Male,overall,overall,1160.0,0.8,2007,Overall
326,Heroin,Female,overall,overall,399.0,1.3,2007,Overall
327,Heroin,Male,overall,overall,2000.0,,2007,Overall
328,Heroin,Female,with,synthetic,3.0,,2007,Overall
329,Heroin,Male,with,synthetic,10.0,,2007,Overall
330,Stimulants,Female,overall,overall,2028.0,3.8,2007,Overall
331,Stimulants,Male,overall,overall,5669.0,1.2,2007,Overall
332,Stimulants,Female,with,any,902.0,1.7,2007,Overall
333,Stimulants,Male,with,any,2492.0,1.4000000000000001,2007,Overall
334,Stimulants,Female,with,synthetic,76.0,0.1,2007,Overall
335,Stimulants,Male,with,synthetic,170.0,2.5,2007,Overall
336,Cocaine,Female,overall,overall,1665.0,3.2,2007,Overall
337,Cocaine,Male,overall,overall,4847.0,1.0,2007,Overall
338,Cocaine,Female,with,any,784.0,1.5,2007,Overall
339,Cocaine,Male,with,any,2243.0,1.2000000000000002,2007,Overall
340,Cocaine,Female,with,synthetic,63.0,0.1,2007,Overall
341,Cocaine,Male,with,synthetic,156.0,2.1,2007,Overall
342,Psychostimulants,Female,overall,overall,409.0,0.7,2007,Overall
343,Psychostimulants,Male,overall,overall,969.0,0.2,2007,Overall
344,Psychostimulants,Female,with,any,150.0,0.2,2007,Overall
345,Psychostimulants,Male,with,any,323.0,0.2,2007,Overall
346,Psychostimulants,Female,with,synthetic,17.0,,2007,Overall
347,Psychostimulants,Male,with,synthetic,18.0,,2007,Overall
348,Benzodiazepines,Female,overall,overall,1894.0,1.7,2007,Overall
349,Benzodiazepines,Male,overall,overall,2606.0,1.2,2007,Overall
350,Benzodiazepines,Female,with,any,1473.0,1.4,2007,Overall
351,Benzodiazepines,Male,with,any,2132.0,0.30000000000000004,2007,Overall
352,Benzodiazepines,Female,with,synthetic,224.0,0.1,2007,Overall
353,Benzodiazepines,Male,with,synthetic,212.0,1.4,2007,Overall
354,Antidepressants,Female,overall,overall,1958.0,1.0,2007,Overall
355,Antidepressants,Male,overall,overall,1467.0,0.6,2007,Overall
356,Antidepressants,Female,with,any,1094.0,0.5,2007,Overall
357,Antidepressants,Male,with,any,807.0,0.5000000000000001,2007,Overall
358,Antidepressants,Female,with,synthetic,203.0,0.1,2007,Overall
359,Antidepressants,Male,with,synthetic,89.0,1.0,2007,Overall
360,Prescription opioids,Female,overall,overall,4959.0,5.4,2008,Overall
361,Prescription opioids,Male,overall,overall,8190.0,0.2,2008,Overall
362,Prescription opioids,Female,with,synthetic,309.0,0.2,2008,Overall
363,Prescription opioids,Male,with,synthetic,346.0,4.1,2008,Overall
364,Synthetic opioids,Female,overall,overall,1083.0,0.8,2008,Overall
365,Synthetic opioids,Male,overall,overall,1223.0,1.0,2008,Overall
366,Heroin,Female,overall,overall,551.0,1.6,2008,Overall
367,Heroin,Male,overall,overall,2490.0,,2008,Overall
368,Heroin,Female,with,synthetic,13.0,,2008,Overall
369,Heroin,Male,with,synthetic,15.0,,2008,Overall
370,Stimulants,Female,overall,overall,1667.0,3.1,2008,Overall
371,Stimulants,Male,overall,overall,4653.0,1.0,2008,Overall
372,Stimulants,Female,with,any,829.0,1.5,2008,Overall
373,Stimulants,Male,with,any,2256.0,1.1,2008,Overall
374,Stimulants,Female,with,synthetic,78.0,0.1,2008,Overall
375,Stimulants,Male,with,synthetic,149.0,2.0,2008,Overall
376,Cocaine,Female,overall,overall,1322.0,2.5,2008,Overall
377,Cocaine,Male,overall,overall,3807.0,0.9,2008,Overall
378,Cocaine,Female,with,any,695.0,1.3,2008,Overall
379,Cocaine,Male,with,any,1961.0,0.7999999999999999,2008,Overall
380,Cocaine,Female,with,synthetic,59.0,0.1,2008,Overall
381,Cocaine,Male,with,synthetic,123.0,1.7,2008,Overall
382,Psychostimulants,Female,overall,overall,375.0,0.6,2008,Overall
383,Psychostimulants,Male,overall,overall,927.0,0.2,2008,Overall
384,Psychostimulants,Female,with,any,151.0,0.2,2008,Overall
385,Psychostimulants,Male,with,any,344.0,0.2,2008,Overall
386,Psychostimulants,Female,with,synthetic,19.0,,2008,Overall
387,Psychostimulants,Male,with,synthetic,28.0,,2008,Overall
388,Benzodiazepines,Female,overall,overall,2046.0,2.0,2008,Overall
389,Benzodiazepines,Male,overall,overall,2964.0,1.3,2008,Overall
390,Benzodiazepines,Female,with,any,1618.0,1.6,2008,Overall
391,Benzodiazepines,Male,with,any,2452.0,0.30000000000000004,2008,Overall
392,Benzodiazepines,Female,with,synthetic,250.0,0.2,2008,Overall
393,Benzodiazepines,Male,with,synthetic,241.0,1.4000000000000001,2008,Overall
394,Antidepressants,Female,overall,overall,2047.0,1.0,2008,Overall
395,Antidepressants,Male,overall,overall,1563.0,0.7,2008,Overall
396,Antidepressants,Female,with,any,1199.0,0.6,2008,Overall
397,Antidepressants,Male,with,any,912.0,0.40000000000000013,2008,Overall
398,Antidepressants,Female,with,synthetic,248.0,0.1,2008,Overall
399,Antidepressants,Male,with,synthetic,136.0,1.0,2008,Overall
400,Prescription opioids,Female,overall,overall,5212.0,5.5,2009,Overall
401,Prescription opioids,Male,overall,overall,8311.0,0.3,2009,Overall
402,Prescription opioids,Female,with,synthetic,444.0,0.3,2009,Overall
403,Prescription opioids,Male,with,synthetic,428.0,4.1000000000000005,2009,Overall
404,Synthetic opioids,Female,overall,overall,1445.0,1.0,2009,Overall
405,Synthetic opioids,Male,overall,overall,1501.0,1.1,2009,Overall
406,Heroin,Female,overall,overall,577.0,1.8,2009,Overall
407,Heroin,Male,overall,overall,2701.0,,2009,Overall
408,Heroin,Female,with,synthetic,10.0,,2009,Overall
409,Heroin,Male,with,synthetic,19.0,,2009,Overall
410,Stimulants,Female,overall,overall,1586.0,2.8,2009,Overall
411,Stimulants,Male,overall,overall,4238.0,0.9,2009,Overall
412,Stimulants,Female,with,any,752.0,1.3,2009,Overall
413,Stimulants,Male,with,any,2014.0,0.9999999999999999,2009,Overall
414,Stimulants,Female,with,synthetic,83.0,0.1,2009,Overall
415,Stimulants,Male,with,synthetic,157.0,1.7999999999999998,2009,Overall
416,Cocaine,Female,overall,overall,1141.0,2.1,2009,Overall
417,Cocaine,Male,overall,overall,3209.0,0.7,2009,Overall
