Drug Type,Demographic,Death Rate,Year
Any opioid,Asian (Non-Hispanic),0.3,2003
Any opioid,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2003
Any opioid,Hispanic,3.2,2003
Any opioid,American Indian or Alaska Native (Non-Hispanic),5.3,2003
Prescription opioids,Overall,2.6,2003
Prescription opioids,White (Non-Hispanic),3.2,2003
Prescription opioids,Black (Non-Hispanic),1.1,2003
Prescription opioids,Asian (Non-Hispanic),0.2,2003
Prescription opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2003
Prescription opioids,Hispanic,1.5,2003
Prescription opioids,American Indian or Alaska Native (Non-Hispanic),3.258,2003
Synthetic opioids,Overall,0.5,2003
Synthetic opioids,White (Non-Hispanic),0.6,2003
Synthetic opioids,Black (Non-Hispanic),0.1,2003
Synthetic opioids,Asian (Non-Hispanic),,2003
Synthetic opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2003
Synthetic opioids,Hispanic,0.1,2003
Synthetic opioids,American Indian or Alaska Native (Non-Hispanic),,2003
Heroin,Overall,0.7,2003
Heroin,White (Non-Hispanic),0.7,2003
Heroin,Black (Non-Hispanic),0.8,2003
Heroin,Asian (Non-Hispanic),,2003
Heroin,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2003
Heroin,Hispanic,1.0,2003
Heroin,American Indian or Alaska Native (Non-Hispanic),,2003
Stimulants,Overall,2.1,2003
Stimulants,White (Non-Hispanic),2.0,2003
Stimulants,Black (Non-Hispanic),4.2,2003
Stimulants,Asian (Non-Hispanic),,2003
Stimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2003
Stimulants,Hispanic,1.9,2003
Stimulants,American Indian or Alaska Native (Non-Hispanic),2.4,2003
Cocaine,Overall,1.8,2003
Cocaine,White (Non-Hispanic),1.6,2003
Cocaine,Black (Non-Hispanic),4.1,2003
Cocaine,Asian (Non-Hispanic),0.2,2003
Cocaine,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2003
Cocaine,Hispanic,1.6,2003
Cocaine,American Indian or Alaska Native (Non-Hispanic),1.7,2003
Psychostimulants,Overall,0.4,2003
Psychostimulants,White (Non-Hispanic),0.5,2003
Psychostimulants,Black (Non-Hispanic),0.1,2003
Psychostimulants,Asian (Non-Hispanic),0.3,2003
Psychostimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2003
Psychostimulants,Hispanic,0.4,2003
Psychostimulants,American Indian or Alaska Native (Non-Hispanic),,2003
Total Overdose Deaths,Overall,9.4,2004
Total Overdose Deaths,White (Non-Hispanic),11.0,2004
Total Overdose Deaths,Black (Non-Hispanic),8.3,2004
Total Overdose Deaths,Asian (Non-Hispanic),,2004
Total Overdose Deaths,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2004
Total Overdose Deaths,Hispanic,5.2,2004
Total Overdose Deaths,American Indian or Alaska Native (Non-Hispanic),12.5,2004
Any opioid,Overall,4.7,2004
Any opioid,White (Non-Hispanic),5.7,2004
Any opioid,Black (Non-Hispanic),3.2,2004
Any opioid,Asian (Non-Hispanic),0.4,2004
Any opioid,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2004
Any opioid,Hispanic,2.9,2004
Any opioid,American Indian or Alaska Native (Non-Hispanic),6.2,2004
Prescription opioids,Overall,2.9,2004
Prescription opioids,White (Non-Hispanic),3.7,2004
Prescription opioids,Black (Non-Hispanic),1.4,2004
Prescription opioids,Asian (Non-Hispanic),0.3,2004
Prescription opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2004
Prescription opioids,Hispanic,1.4,2004
Prescription opioids,American Indian or Alaska Native (Non-Hispanic),4.159,2004
Synthetic opioids,Overall,0.6,2004
Synthetic opioids,White (Non-Hispanic),0.7,2004
Synthetic opioids,Black (Non-Hispanic),0.2,2004
Synthetic opioids,Asian (Non-Hispanic),,2004
Synthetic opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2004
Synthetic opioids,Hispanic,0.2,2004
Synthetic opioids,American Indian or Alaska Native (Non-Hispanic),0.9,2004
Heroin,Overall,0.6,2004
Heroin,White (Non-Hispanic),0.7,2004
Heroin,Black (Non-Hispanic),0.6,2004
Heroin,Asian (Non-Hispanic),,2004
Heroin,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2004
Heroin,Hispanic,0.7,2004
Heroin,American Indian or Alaska Native (Non-Hispanic),,2004
Stimulants,Overall,2.3,2004
Stimulants,White (Non-Hispanic),2.2,2004
Stimulants,Black (Non-Hispanic),4.4,2004
Stimulants,Asian (Non-Hispanic),,2004
Stimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2004
Stimulants,Hispanic,1.8,2004
Stimulants,American Indian or Alaska Native (Non-Hispanic),2.7,2004
Cocaine,Overall,1.9,2004
Cocaine,White (Non-Hispanic),1.7,2004
Cocaine,Black (Non-Hispanic),4.3,2004
Cocaine,Asian (Non-Hispanic),0.2,2004
Cocaine,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2004
Cocaine,Hispanic,1.4,2004
Cocaine,American Indian or Alaska Native (Non-Hispanic),1.6,2004
Psychostimulants,Overall,0.4,2004
Psychostimulants,White (Non-Hispanic),0.5,2004
Psychostimulants,Black (Non-Hispanic),0.1,2004
Psychostimulants,Asian (Non-Hispanic),0.2,2004
Psychostimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2004
Psychostimulants,Hispanic,0.4,2004
Psychostimulants,American Indian or Alaska Native (Non-Hispanic),1.3,2004
Total Overdose Deaths,Overall,10.1,2005
Total Overdose Deaths,White (Non-Hispanic),11.8,2005
Total Overdose Deaths,Black (Non-Hispanic),9.3,2005
Total Overdose Deaths,Asian (Non-Hispanic),,2005
Total Overdose Deaths,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2005
Total Overdose Deaths,Hispanic,5.8,2005
Total Overdose Deaths,American Indian or Alaska Native (Non-Hispanic),13.1,2005
Any opioid,Overall,5.1,2005
Any opioid,White (Non-Hispanic),6.2,2005
Any opioid,Black (Non-Hispanic),3.4,2005
Any opioid,Asian (Non-Hispanic),0.6,2005
Any opioid,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2005
Any opioid,Hispanic,3.0,2005
Any opioid,American Indian or Alaska Native (Non-Hispanic),6.9,2005
Prescription opioids,Overall,3.2,2005
Prescription opioids,White (Non-Hispanic),4.1,2005
Prescription opioids,Black (Non-Hispanic),1.6,2005
Prescription opioids,Asian (Non-Hispanic),0.4,2005
Prescription opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2005
Prescription opioids,Hispanic,1.5,2005
Prescription opioids,American Indian or Alaska Native (Non-Hispanic),4.749,2005
Synthetic opioids,Overall,0.6,2005
Synthetic opioids,White (Non-Hispanic),0.8,2005
Synthetic opioids,Black (Non-Hispanic),0.2,2005
Synthetic opioids,Asian (Non-Hispanic),,2005
Synthetic opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2005
Synthetic opioids,Hispanic,0.2,2005
Synthetic opioids,American Indian or Alaska Native (Non-Hispanic),1.1,2005
Heroin,Overall,0.7,2005
Heroin,White (Non-Hispanic),0.7,2005
Heroin,Black (Non-Hispanic),0.8,2005
Heroin,Asian (Non-Hispanic),,2005
Heroin,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2005
Heroin,Hispanic,0.8,2005
Heroin,American Indian or Alaska Native (Non-Hispanic),,2005
Stimulants,Overall,2.6,2005
Stimulants,White (Non-Hispanic),2.4,2005
Stimulants,Black (Non-Hispanic),5.0,2005
Stimulants,Asian (Non-Hispanic),,2005
Stimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2005
Stimulants,Hispanic,2.2,2005
Stimulants,American Indian or Alaska Native (Non-Hispanic),3.3,2005
Cocaine,Overall,2.1,2005
Cocaine,White (Non-Hispanic),1.9,2005
Cocaine,Black (Non-Hispanic),4.9,2005
Cocaine,Asian (Non-Hispanic),0.2,2005
Cocaine,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2005
Cocaine,Hispanic,1.7,2005
Cocaine,American Indian or Alaska Native (Non-Hispanic),2.3,2005
Psychostimulants,Overall,0.5,2005
Psychostimulants,White (Non-Hispanic),0.6,2005
Psychostimulants,Black (Non-Hispanic),0.2,2005
Psychostimulants,Asian (Non-Hispanic),0.3,2005
Psychostimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2005
Psychostimulants,Hispanic,0.5,2005
Psychostimulants,American Indian or Alaska Native (Non-Hispanic),1.5,2005
Total Overdose Deaths,Overall,11.5,2006
Total Overdose Deaths,White (Non-Hispanic),13.6,2006
Total Overdose Deaths,Black (Non-Hispanic),10.8,2006
Total Overdose Deaths,Asian (Non-Hispanic),,2006
Total Overdose Deaths,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2006
Total Overdose Deaths,Hispanic,6.3,2006
Total Overdose Deaths,American Indian or Alaska Native (Non-Hispanic),14.1,2006
Any opioid,Overall,5.9,2006
Any opioid,White (Non-Hispanic),7.3,2006
Any opioid,Black (Non-Hispanic),4.2,2006
Any opioid,Asian (Non-Hispanic),0.5,2006
Any opioid,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2006
Any opioid,Hispanic,3.3,2006
Any opioid,American Indian or Alaska Native (Non-Hispanic),7.1,2006
Prescription opioids,Overall,3.9,2006
Prescription opioids,White (Non-Hispanic),5.0,2006
Prescription opioids,Black (Non-Hispanic),1.8,2006
Prescription opioids,Asian (Non-Hispanic),0.4,2006
Prescription opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2006
Prescription opioids,Hispanic,1.8,2006
Prescription opioids,American Indian or Alaska Native (Non-Hispanic),4.736,2006
Synthetic opioids,Overall,0.9,2006
Synthetic opioids,White (Non-Hispanic),1.1,2006
Synthetic opioids,Black (Non-Hispanic),1.0,2006
Synthetic opioids,Asian (Non-Hispanic),,2006
Synthetic opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2006
Synthetic opioids,Hispanic,0.3,2006
Synthetic opioids,American Indian or Alaska Native (Non-Hispanic),1.2,2006
Heroin,Overall,0.7,2006
Heroin,White (Non-Hispanic),0.8,2006
Heroin,Black (Non-Hispanic),0.7,2006
Heroin,Asian (Non-Hispanic),,2006
Heroin,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2006
Heroin,Hispanic,0.8,2006
Heroin,American Indian or Alaska Native (Non-Hispanic),,2006
Stimulants,Overall,2.9,2006
Stimulants,White (Non-Hispanic),2.7,2006
Stimulants,Black (Non-Hispanic),5.8,2006
Stimulants,Asian (Non-Hispanic),,2006
Stimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2006
Stimulants,Hispanic,2.4,2006
Stimulants,American Indian or Alaska Native (Non-Hispanic),2.8,2006
Cocaine,Overall,2.5,2006
Cocaine,White (Non-Hispanic),2.3,2006
Cocaine,Black (Non-Hispanic),5.6,2006
Cocaine,Asian (Non-Hispanic),0.4,2006
Cocaine,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2006
Cocaine,Hispanic,1.9,2006
Cocaine,American Indian or Alaska Native (Non-Hispanic),1.6,2006
Psychostimulants,Overall,0.5,2006
Psychostimulants,White (Non-Hispanic),0.6,2006
Psychostimulants,Black (Non-Hispanic),0.2,2006
Psychostimulants,Asian (Non-Hispanic),0.3,2006
Psychostimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2006
Psychostimulants,Hispanic,0.5,2006
Psychostimulants,American Indian or Alaska Native (Non-Hispanic),1.2,2006
Total Overdose Deaths,Overall,11.9,2007
Total Overdose Deaths,White (Non-Hispanic),14.5,2007
Total Overdose Deaths,Black (Non-Hispanic),9.7,2007
Total Overdose Deaths,Asian (Non-Hispanic),,2007
Total Overdose Deaths,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2007
Total Overdose Deaths,Hispanic,5.9,2007
Total Overdose Deaths,American Indian or Alaska Native (Non-Hispanic),14.2,2007
Any opioid,Overall,6.1,2007
Any opioid,White (Non-Hispanic),7.8,2007
Any opioid,Black (Non-Hispanic),3.6,2007
Any opioid,Asian (Non-Hispanic),0.5,2007
Any opioid,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2007
Any opioid,Hispanic,3.2,2007
Any opioid,American Indian or Alaska Native (Non-Hispanic),7.8,2007
Prescription opioids,Overall,4.2,2007
Prescription opioids,White (Non-Hispanic),5.6,2007
Prescription opioids,Black (Non-Hispanic),1.8,2007
Prescription opioids,Asian (Non-Hispanic),0.3,2007
Prescription opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2007
Prescription opioids,Hispanic,1.9,2007
Prescription opioids,American Indian or Alaska Native (Non-Hispanic),5.22,2007
Synthetic opioids,Overall,0.7,2007
Synthetic opioids,White (Non-Hispanic),1.0,2007
Synthetic opioids,Black (Non-Hispanic),0.2,2007
Synthetic opioids,Asian (Non-Hispanic),,2007
Synthetic opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2007
Synthetic opioids,Hispanic,0.2,2007
Synthetic opioids,American Indian or Alaska Native (Non-Hispanic),0.9,2007
Heroin,Overall,0.8,2007
Heroin,White (Non-Hispanic),0.9,2007
Heroin,Black (Non-Hispanic),0.8,2007
Heroin,Asian (Non-Hispanic),,2007
Heroin,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2007
Heroin,Hispanic,0.8,2007
Heroin,American Indian or Alaska Native (Non-Hispanic),0.9,2007
Stimulants,Overall,2.6,2007
Stimulants,White (Non-Hispanic),2.5,2007
Stimulants,Black (Non-Hispanic),4.8,2007
Stimulants,Asian (Non-Hispanic),,2007
Stimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2007
Stimulants,Hispanic,1.9,2007
Stimulants,American Indian or Alaska Native (Non-Hispanic),3.0,2007
Cocaine,Overall,2.2,2007
Cocaine,White (Non-Hispanic),2.0,2007
Cocaine,Black (Non-Hispanic),4.7,2007
Cocaine,Asian (Non-Hispanic),0.3,2007
Cocaine,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2007
Cocaine,Hispanic,1.6,2007
Cocaine,American Indian or Alaska Native (Non-Hispanic),2.1,2007
Psychostimulants,Overall,0.4,2007
Psychostimulants,White (Non-Hispanic),0.6,2007
Psychostimulants,Black (Non-Hispanic),0.2,2007
Psychostimulants,Asian (Non-Hispanic),0.2,2007
Psychostimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2007
Psychostimulants,Hispanic,0.4,2007
Psychostimulants,American Indian or Alaska Native (Non-Hispanic),0.9,2007
Total Overdose Deaths,Overall,11.9,2008
Total Overdose Deaths,White (Non-Hispanic),14.8,2008
Total Overdose Deaths,Black (Non-Hispanic),8.4,2008
Total Overdose Deaths,Asian (Non-Hispanic),,2008
Total Overdose Deaths,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2008
Total Overdose Deaths,Hispanic,5.8,2008
Total Overdose Deaths,American Indian or Alaska Native (Non-Hispanic),15.8,2008
Any opioid,Overall,6.4,2008
Any opioid,White (Non-Hispanic),8.2,2008
